TITLE,B19_ZnO_1
DATA TYPE,ULTRAVIOLET SPECTRUM
ORIGIN,JASCO
OWNER,FCBiR
DATE,22/10/04
TIME,13:50:20
SPECTROMETER/DATA SYSTEM,
LOCALE,1033
RESOLUTION,
DELTAX,-1
XUNITS,NANOMETERS
YUNITS,REFLECTANCE
FIRSTX, 1200.0000
LASTX,  300.0000
NPOINTS,     901
FIRSTY,     0.33544
MAXY,     0.51734
MINY,     0.10288
XYDATA
1200.0000,0.335436
1199.0000,0.338731
1198.0000,0.337784
1197.0000,0.340748
1196.0000,0.339452
1195.0000,0.347311
1194.0000,0.339838
1193.0000,0.346686
1192.0000,0.340208
1191.0000,0.344375
1190.0000,0.343807
1189.0000,0.344727
1188.0000,0.345103
1187.0000,0.339099
1186.0000,0.349085
1185.0000,0.346913
1184.0000,0.341561
1183.0000,0.334763
1182.0000,0.345507
1181.0000,0.349536
1180.0000,0.341764
1179.0000,0.342587
1178.0000,0.340351
1177.0000,0.340792
1176.0000,0.345649
1175.0000,0.342728
1174.0000,0.347364
1173.0000,0.338156
1172.0000,0.343518
1171.0000,0.335391
1170.0000,0.348736
1169.0000,0.342476
1168.0000,0.341
1167.0000,0.342039
1166.0000,0.345964
1165.0000,0.343469
1164.0000,0.338735
1163.0000,0.342915
1162.0000,0.344019
1161.0000,0.34063
1160.0000,0.341194
1159.0000,0.341193
1158.0000,0.339278
1157.0000,0.340494
1156.0000,0.348827
1155.0000,0.344196
1154.0000,0.338108
1153.0000,0.339711
1152.0000,0.340719
1151.0000,0.337391
1150.0000,0.345005
1149.0000,0.34174
1148.0000,0.339437
1147.0000,0.342296
1146.0000,0.342098
1145.0000,0.340732
1144.0000,0.334755
1143.0000,0.340315
1142.0000,0.341715
1141.0000,0.338693
1140.0000,0.342244
1139.0000,0.343033
1138.0000,0.340498
1137.0000,0.346149
1136.0000,0.336525
1135.0000,0.342294
1134.0000,0.33934
1133.0000,0.335639
1132.0000,0.339473
1131.0000,0.350036
1130.0000,0.338852
1129.0000,0.339044
1128.0000,0.338486
1127.0000,0.341293
1126.0000,0.339821
1125.0000,0.335937
1124.0000,0.340828
1123.0000,0.33587
1122.0000,0.335222
1121.0000,0.340368
1120.0000,0.332667
1119.0000,0.339927
1118.0000,0.335398
1117.0000,0.339704
1116.0000,0.338355
1115.0000,0.340425
1114.0000,0.338823
1113.0000,0.32928
1112.0000,0.337921
1111.0000,0.336918
1110.0000,0.333558
1109.0000,0.333599
1108.0000,0.33827
1107.0000,0.336847
1106.0000,0.335017
1105.0000,0.333819
1104.0000,0.334739
1103.0000,0.338021
1102.0000,0.335767
1101.0000,0.330528
1100.0000,0.333415
1099.0000,0.331858
1098.0000,0.33156
1097.0000,0.336133
1096.0000,0.326888
1095.0000,0.33336
1094.0000,0.331109
1093.0000,0.334943
1092.0000,0.334244
