TITLE,B20_ZnO_14
DATA TYPE,ULTRAVIOLET SPECTRUM
ORIGIN,JASCO
OWNER,FCBiR
DATE,22/10/10
TIME,12:13:38
SPECTROMETER/DATA SYSTEM,
LOCALE,1033
RESOLUTION,
DELTAX,-1
XUNITS,NANOMETERS
YUNITS,REFLECTANCE
FIRSTX, 1200.0000
LASTX,  300.0000
NPOINTS,     901
FIRSTY,     0.32112
MAXY,     0.62858
MINY,     0.08223
XYDATA
1200.0000,0.321116
1199.0000,0.322826
1198.0000,0.330359
1197.0000,0.325685
1196.0000,0.332279
1195.0000,0.327287
1194.0000,0.327171
1193.0000,0.332951
1192.0000,0.327176
1191.0000,0.324035
1190.0000,0.32851
1189.0000,0.323678
1188.0000,0.320396
1187.0000,0.323297
1186.0000,0.326078
1185.0000,0.324094
1184.0000,0.330527
1183.0000,0.324171
1182.0000,0.326043
1181.0000,0.324153
1180.0000,0.32763
1179.0000,0.328287
1178.0000,0.328768
1177.0000,0.331432
1176.0000,0.327107
1175.0000,0.333208
1174.0000,0.32686
1173.0000,0.333949
1172.0000,0.326117
1171.0000,0.328542
1170.0000,0.328115
1169.0000,0.324328
1168.0000,0.323735
1167.0000,0.328291
1166.0000,0.325351
1165.0000,0.32767
1164.0000,0.322995
1163.0000,0.328432
1162.0000,0.32553
1161.0000,0.333333
1160.0000,0.330422
1159.0000,0.334231
1158.0000,0.330754
1157.0000,0.326459
1156.0000,0.330037
1155.0000,0.336657
1154.0000,0.32658
1153.0000,0.327289
1152.0000,0.334352
1151.0000,0.324373
1150.0000,0.327394
1149.0000,0.328563
1148.0000,0.327377
1147.0000,0.330408
1146.0000,0.330394
1145.0000,0.328975
1144.0000,0.327207
1143.0000,0.329443
1142.0000,0.330448
1141.0000,0.32757
1140.0000,0.327963
1139.0000,0.323748
1138.0000,0.324191
1137.0000,0.328792
1136.0000,0.334447
1135.0000,0.330427
1134.0000,0.325754
1133.0000,0.32763
1132.0000,0.330636
1131.0000,0.323427
1130.0000,0.328995
1129.0000,0.32724
1128.0000,0.330814
1127.0000,0.325171
1126.0000,0.324111
1125.0000,0.325668
1124.0000,0.328585
1123.0000,0.330163
1122.0000,0.329187
1121.0000,0.329802
1120.0000,0.329525
1119.0000,0.320571
1118.0000,0.328661
1117.0000,0.327248
1116.0000,0.322519
1115.0000,0.330241
1114.0000,0.325697
1113.0000,0.325114
1112.0000,0.331536
1111.0000,0.327021
1110.0000,0.322075
1109.0000,0.321067
1108.0000,0.33015
1107.0000,0.32881
1106.0000,0.329273
1105.0000,0.328146
1104.0000,0.325695
1103.0000,0.325919
1102.0000,0.324268
1101.0000,0.323715
1100.0000,0.324564
1099.0000,0.32149
1098.0000,0.322642
1097.0000,0.323053
1096.0000,0.32102
1095.0000,0.323725
1094.0000,0.323284
1093.0000,0.327231
1092.0000,0.322151
