TITLE,B19_ZnO_16
DATA TYPE,ULTRAVIOLET SPECTRUM
ORIGIN,JASCO
OWNER,FCBiR
DATE,22/10/05
TIME,10:17:22
SPECTROMETER/DATA SYSTEM,
LOCALE,1033
RESOLUTION,
DELTAX,-1
XUNITS,NANOMETERS
YUNITS,REFLECTANCE
FIRSTX, 1200.0000
LASTX,  300.0000
NPOINTS,     901
FIRSTY,     0.28906
MAXY,     0.65528
MINY,     0.10504
XYDATA
924.0000,0.345454
923.0000,0.347512
922.0000,0.357225
921.0000,0.349839
920.0000,0.360897
919.0000,0.347867
918.0000,0.352023
917.0000,0.364133
916.0000,0.347629
915.0000,0.366183
914.0000,0.364884
913.0000,0.375552
912.0000,0.360384
911.0000,0.363385
910.0000,0.381507
909.0000,0.374447
908.0000,0.381969
907.0000,0.391772
906.0000,0.371265
905.0000,0.389803
904.0000,0.389918
903.0000,0.374414
902.0000,0.395886
901.0000,0.393618
900.0000,0.391678
899.0000,0.394424
898.0000,0.401982
897.0000,0.407643
896.0000,0.399588
895.0000,0.408425
894.0000,0.416854
893.0000,0.427682
892.0000,0.414638
891.0000,0.41189
890.0000,0.420792
889.0000,0.426456
888.0000,0.440892
887.0000,0.435603
886.0000,0.43889
885.0000,0.436379
884.0000,0.41524
883.0000,0.418045
882.0000,0.461937
881.0000,0.449832
880.0000,0.42978
879.0000,0.449606
878.0000,0.458995
877.0000,0.438398
876.0000,0.461379
875.0000,0.471324
874.0000,0.467592
873.0000,0.473533
872.0000,0.45085
871.0000,0.461296
870.0000,0.490319
869.0000,0.457419
868.0000,0.499368
867.0000,0.505719
866.0000,0.465577
865.0000,0.468154
864.0000,0.510496
863.0000,0.492656
862.0000,0.507371
861.0000,0.550685
860.0000,0.498105
859.0000,0.491025
858.0000,0.500801
857.0000,0.533678
856.0000,0.526065
855.0000,0.527729
854.0000,0.524993
853.0000,0.511485
852.0000,0.527308
851.0000,0.532012
850.0000,0.110961
849.0000,0.130773
848.0000,0.119865
847.0000,0.113274
846.0000,0.105043
845.0000,0.122705
844.0000,0.132402
843.0000,0.121873
842.0000,0.117063
841.0000,0.114999
840.0000,0.115909
839.0000,0.127835
838.0000,0.115995
837.0000,0.124385
836.0000,0.116088
835.0000,0.122428
834.0000,0.118362
833.0000,0.117447
832.0000,0.118128
831.0000,0.124684
830.0000,0.120303
829.0000,0.120949
828.0000,0.118184
827.0000,0.126912
826.0000,0.126062
825.0000,0.124413
824.0000,0.122848
823.0000,0.121406
822.0000,0.121189
821.0000,0.126283
820.0000,0.121315
819.0000,0.125121
818.0000,0.121476
817.0000,0.124417
816.0000,0.123795
815.0000,0.122897
814.0000,0.124638
813.0000,0.126747
812.0000,0.124792
811.0000,0.125031
810.0000,0.128162
809.0000,0.127704
808.0000,0.12503
807.0000,0.12517
806.0000,0.123939
805.0000,0.125146
804.0000,0.127714
803.0000,0.127814
802.0000,0.124014
801.0000,0.128562
800.0000,0.129024
799.0000,0.129287
798.0000,0.126298
797.0000,0.129287
796.0000,0.128602
795.0000,0.127795
794.0000,0.126037
793.0000,0.123791
792.0000,0.125555
791.0000,0.126258
790.0000,0.127127
789.0000,0.128437
788.0000,0.129371
787.0000,0.126598
786.0000,0.130021
785.0000,0.127836
784.0000,0.129086
783.0000,0.126853
782.0000,0.128125
781.0000,0.129262
780.0000,0.129895
779.0000,0.127798
778.0000,0.127082
777.0000,0.130621
776.0000,0.128293
775.0000,0.12739
774.0000,0.130431
773.0000,0.130261
772.0000,0.129858
771.0000,0.131202
770.0000,0.130413
769.0000,0.129498
768.0000,0.130147
767.0000,0.12951
766.0000,0.131213
765.0000,0.130842
764.0000,0.131119
763.0000,0.131205
762.0000,0.133151
761.0000,0.132316
760.0000,0.129887
759.0000,0.130564
758.0000,0.129071
757.0000,0.132373
756.0000,0.131695
755.0000,0.132655
754.0000,0.132615
753.0000,0.132547
752.0000,0.133658
751.0000,0.133343
750.0000,0.131657
749.0000,0.133664
748.0000,0.130904
747.0000,0.131824
746.0000,0.135641
745.0000,0.134277
744.0000,0.13414
743.0000,0.133817
742.0000,0.133733
741.0000,0.135407
740.0000,0.133862
739.0000,0.133906
738.0000,0.136298
737.0000,0.134523
736.0000,0.135672
735.0000,0.137763
734.0000,0.134579
733.0000,0.134763
732.0000,0.136973
731.0000,0.134649
730.0000,0.135715
729.0000,0.135748
728.0000,0.137667
727.0000,0.136925
726.0000,0.136825
725.0000,0.135769
724.0000,0.137541
723.0000,0.138456
722.0000,0.136199
721.0000,0.135974
720.0000,0.138415
719.0000,0.138689
718.0000,0.137619
717.0000,0.137999
716.0000,0.138425
715.0000,0.138163
714.0000,0.138062
713.0000,0.139338
712.0000,0.137816
711.0000,0.140908
710.0000,0.138489
709.0000,0.13916
708.0000,0.139717
707.0000,0.138933
706.0000,0.139702
705.0000,0.140108
704.0000,0.138982
703.0000,0.139699
702.0000,0.139442
701.0000,0.139772
700.0000,0.140684
699.0000,0.13918
698.0000,0.140167
697.0000,0.140631
696.0000,0.141381
