TITLE,ZnO_B19_szklo_4
DATA TYPE,ULTRAVIOLET SPECTRUM
ORIGIN,JASCO
OWNER,FCBiR
DATE,22/10/11
TIME,12:10:50
SPECTROMETER/DATA SYSTEM,
LOCALE,1033
RESOLUTION,
DELTAX,-1
XUNITS,NANOMETERS
YUNITS,REFLECTANCE
FIRSTX, 1200.0000
LASTX,  300.0000
NPOINTS,     901
FIRSTY,     0.33382
MAXY,     0.84990
MINY,     0.22884
XYDATA
1091.0000,0.36087
1090.0000,0.358732
1089.0000,0.356411
1088.0000,0.356105
1087.0000,0.350841
1086.0000,0.366814
1085.0000,0.352376
1084.0000,0.360459
1083.0000,0.352696
1082.0000,0.353538
1081.0000,0.357363
1080.0000,0.355199
1079.0000,0.362256
1078.0000,0.357369
1077.0000,0.355942
1076.0000,0.357689
1075.0000,0.359307
1074.0000,0.360215
1073.0000,0.355445
1072.0000,0.360472
1071.0000,0.35875
1070.0000,0.360277
1069.0000,0.364236
1068.0000,0.356103
1067.0000,0.363632
1066.0000,0.360085
1065.0000,0.360556
1064.0000,0.356472
1063.0000,0.360239
1062.0000,0.362438
1061.0000,0.361839
1060.0000,0.362473
1059.0000,0.361028
1058.0000,0.358308
1057.0000,0.363667
1056.0000,0.374684
1055.0000,0.355761
1054.0000,0.359506
1053.0000,0.361719
1052.0000,0.369821
1051.0000,0.365281
1050.0000,0.359623
1049.0000,0.359055
1048.0000,0.374282
1047.0000,0.368055
1046.0000,0.359246
1045.0000,0.375139
1044.0000,0.370287
1043.0000,0.366298
1042.0000,0.368612
1041.0000,0.376217
1040.0000,0.36202
1039.0000,0.372063
1038.0000,0.369302
1037.0000,0.367175
1036.0000,0.373472
1035.0000,0.365417
1034.0000,0.374801
1033.0000,0.376366
1032.0000,0.37108
1031.0000,0.381295
1030.0000,0.372029
1029.0000,0.374488
1028.0000,0.372225
1027.0000,0.37537
1026.0000,0.368546
1025.0000,0.37522
1024.0000,0.384424
1023.0000,0.376698
1022.0000,0.375495
1021.0000,0.379001
1020.0000,0.377681
1019.0000,0.378805
1018.0000,0.380785
1017.0000,0.380201
1016.0000,0.38227
1015.0000,0.378094
1014.0000,0.377841
1013.0000,0.374831
1012.0000,0.387653
1011.0000,0.383517
1010.0000,0.377908
1009.0000,0.380047
1008.0000,0.379871
1007.0000,0.38503
1006.0000,0.3901
1005.0000,0.375495
1004.0000,0.383411
1003.0000,0.378506
1002.0000,0.389109
1001.0000,0.389766
1000.0000,0.382136
999.0000,0.385445
998.0000,0.394161
997.0000,0.397666
996.0000,0.387557
995.0000,0.392704
994.0000,0.392199
993.0000,0.393741
992.0000,0.389138
991.0000,0.39036
990.0000,0.384617
989.0000,0.393443
988.0000,0.393116
987.0000,0.389982
986.0000,0.397776
985.0000,0.39451
984.0000,0.401959
983.0000,0.396371
982.0000,0.392274
981.0000,0.401574
980.0000,0.386779
979.0000,0.394485
978.0000,0.40137
977.0000,0.40352
976.0000,0.405261
975.0000,0.410273
974.0000,0.402617
973.0000,0.414564
972.0000,0.40888
971.0000,0.38761
970.0000,0.403953
969.0000,0.400505
968.0000,0.39638
967.0000,0.400369
966.0000,0.411836
965.0000,0.409662
964.0000,0.405049
963.0000,0.406802
962.0000,0.404204
961.0000,0.40366
960.0000,0.406492
959.0000,0.396499
958.0000,0.392411
957.0000,0.39432
956.0000,0.392296
955.0000,0.407366
954.0000,0.404604
953.0000,0.40413
952.0000,0.406392
951.0000,0.405976
950.0000,0.403375
949.0000,0.402968
948.0000,0.416281
947.0000,0.412253
946.0000,0.409328
945.0000,0.409318
944.0000,0.396523
943.0000,0.410014
942.0000,0.41303
941.0000,0.413904
940.0000,0.427449
939.0000,0.412832
938.0000,0.414408
937.0000,0.430748
936.0000,0.426143
935.0000,0.43902
934.0000,0.430822
933.0000,0.44187
932.0000,0.424044
931.0000,0.435312
930.0000,0.432323
929.0000,0.446532
928.0000,0.437921
927.0000,0.436735
926.0000,0.446205
925.0000,0.451469
924.0000,0.438996
923.0000,0.445234
922.0000,0.45272
921.0000,0.454998
920.0000,0.462174
919.0000,0.45957
918.0000,0.484447
917.0000,0.459738
916.0000,0.471326
915.0000,0.482842
914.0000,0.477179
