TITLE,ZnO_B20_16
DATA TYPE,ULTRAVIOLET SPECTRUM
ORIGIN,JASCO
OWNER,FCBiR
DATE,22/10/10
TIME,13:25:36
SPECTROMETER/DATA SYSTEM,
LOCALE,1033
RESOLUTION,
DELTAX,-1
XUNITS,NANOMETERS
YUNITS,REFLECTANCE
FIRSTX, 1200.0000
LASTX,  300.0000
NPOINTS,     901
FIRSTY,     0.26044
MAXY,     0.50308
MINY,     0.05841
XYDATA
1091.0000,0.267206
1090.0000,0.268681
1089.0000,0.270157
1088.0000,0.264076
1087.0000,0.27111
1086.0000,0.273213
1085.0000,0.269205
1084.0000,0.268151
1083.0000,0.264857
1082.0000,0.2686
1081.0000,0.268402
1080.0000,0.266799
1079.0000,0.268793
1078.0000,0.266466
1077.0000,0.265358
1076.0000,0.274168
1075.0000,0.273911
1074.0000,0.267769
1073.0000,0.268278
1072.0000,0.267976
1071.0000,0.268723
1070.0000,0.268965
1069.0000,0.275554
1068.0000,0.262552
1067.0000,0.271789
1066.0000,0.266005
1065.0000,0.262009
1064.0000,0.270566
1063.0000,0.271531
1062.0000,0.271214
1061.0000,0.268301
1060.0000,0.269249
1059.0000,0.267778
1058.0000,0.267564
1057.0000,0.271984
1056.0000,0.268421
1055.0000,0.267144
1054.0000,0.262248
1053.0000,0.263863
1052.0000,0.268777
1051.0000,0.264364
1050.0000,0.262801
1049.0000,0.267933
1048.0000,0.263883
1047.0000,0.265457
1046.0000,0.26585
1045.0000,0.264114
1044.0000,0.264031
1043.0000,0.262566
1042.0000,0.263482
1041.0000,0.268911
1040.0000,0.267167
1039.0000,0.25905
1038.0000,0.26758
1037.0000,0.266585
1036.0000,0.272599
1035.0000,0.256204
1034.0000,0.264914
1033.0000,0.259337
1032.0000,0.263069
1031.0000,0.26671
1030.0000,0.269519
1029.0000,0.263735
1028.0000,0.269448
1027.0000,0.265035
1026.0000,0.270056
1025.0000,0.266274
1024.0000,0.263145
1023.0000,0.262671
1022.0000,0.266886
1021.0000,0.263362
1020.0000,0.264273
1019.0000,0.268088
1018.0000,0.259457
1017.0000,0.268485
1016.0000,0.269532
1015.0000,0.259526
1014.0000,0.268372
1013.0000,0.26432
1012.0000,0.268059
1011.0000,0.267833
1010.0000,0.259286
1009.0000,0.269966
1008.0000,0.267879
1007.0000,0.26679
1006.0000,0.272865
1005.0000,0.268787
1004.0000,0.269104
1003.0000,0.269215
1002.0000,0.279509
1001.0000,0.263481
1000.0000,0.268627
999.0000,0.281879
998.0000,0.268378
997.0000,0.269912
996.0000,0.270762
995.0000,0.268339
994.0000,0.26912
993.0000,0.270719
992.0000,0.276179
991.0000,0.262845
990.0000,0.27048
989.0000,0.272423
988.0000,0.270194
987.0000,0.265312
986.0000,0.277199
985.0000,0.275081
984.0000,0.274022
983.0000,0.270899
982.0000,0.274425
981.0000,0.272208
980.0000,0.260893
979.0000,0.278753
978.0000,0.282859
977.0000,0.273346
976.0000,0.278724
975.0000,0.279004
974.0000,0.276882
973.0000,0.278753
972.0000,0.271428
971.0000,0.275751
970.0000,0.278362
969.0000,0.262417
968.0000,0.280923
967.0000,0.278345
966.0000,0.281804
965.0000,0.274788
964.0000,0.272299
963.0000,0.283168
962.0000,0.278725
961.0000,0.281046
960.0000,0.286849
959.0000,0.275318
958.0000,0.276685
957.0000,0.288763
956.0000,0.276936
955.0000,0.283678
954.0000,0.271302
953.0000,0.293266
952.0000,0.288374
951.0000,0.283609
950.0000,0.279964
949.0000,0.278154
948.0000,0.28754
947.0000,0.287266
946.0000,0.282072
945.0000,0.284517
944.0000,0.276208
943.0000,0.279814
942.0000,0.287105
941.0000,0.291249
940.0000,0.289033
939.0000,0.278262
938.0000,0.287795
937.0000,0.287278
936.0000,0.306242
935.0000,0.312583
934.0000,0.296438
933.0000,0.300292
932.0000,0.304803
931.0000,0.297073
930.0000,0.315462
929.0000,0.304769
928.0000,0.32259
927.0000,0.321787
926.0000,0.30894
925.0000,0.328598
924.0000,0.31722
923.0000,0.333717
922.0000,0.326431
921.0000,0.339664
920.0000,0.317926
919.0000,0.333214
918.0000,0.334785
917.0000,0.333101
916.0000,0.339005
915.0000,0.334571
914.0000,0.332204
913.0000,0.330318
912.0000,0.332056
911.0000,0.348457
910.0000,0.340135
909.0000,0.355112
908.0000,0.337495
907.0000,0.339096
906.0000,0.346585
905.0000,0.341051
904.0000,0.357084
903.0000,0.35501
902.0000,0.354439
901.0000,0.357536
900.0000,0.376535
899.0000,0.376819
898.0000,0.365904
897.0000,0.357954
896.0000,0.368608
895.0000,0.35209
894.0000,0.367409
893.0000,0.375839
892.0000,0.391985
891.0000,0.362998
890.0000,0.382901
889.0000,0.38003
888.0000,0.379198
887.0000,0.375817
886.0000,0.351199
885.0000,0.389315
884.0000,0.38849
883.0000,0.372125
882.0000,0.389867
881.0000,0.401245
880.0000,0.400633
879.0000,0.425757
878.0000,0.418521
877.0000,0.421055
876.0000,0.406538
875.0000,0.412055
874.0000,0.431513
873.0000,0.42341
872.0000,0.414583
871.0000,0.412908
870.0000,0.433529
869.0000,0.408417
868.0000,0.436351
867.0000,0.44263
866.0000,0.44013
865.0000,0.458502
864.0000,0.451844
863.0000,0.469364
862.0000,0.441945
861.0000,0.459293
860.0000,0.423199
859.0000,0.496501
858.0000,0.471635
857.0000,0.44727
856.0000,0.474136
855.0000,0.443967
854.0000,0.48456
853.0000,0.503085
852.0000,0.489661
851.0000,0.49022
850.0000,0.0747373
849.0000,0.0584078
848.0000,0.0809846
847.0000,0.0998038
846.0000,0.0767778
845.0000,0.0899844
844.0000,0.0932167
843.0000,0.103404
842.0000,0.103124
841.0000,0.112371
840.0000,0.0996625
839.0000,0.104662
838.0000,0.110804
837.0000,0.102989
836.0000,0.108806
835.0000,0.117056
834.0000,0.113385
833.0000,0.110468
832.0000,0.119131
831.0000,0.114988
830.0000,0.116069
829.0000,0.118204
828.0000,0.116782
827.0000,0.119896
826.0000,0.114151
825.0000,0.111978
824.0000,0.116991
823.0000,0.115613
822.0000,0.11467
821.0000,0.118387
820.0000,0.117724
819.0000,0.118741
818.0000,0.119898
817.0000,0.115559
816.0000,0.122771
815.0000,0.118699
814.0000,0.118073
813.0000,0.115303
812.0000,0.1221
811.0000,0.12095
810.0000,0.117928
809.0000,0.120725
808.0000,0.11744
807.0000,0.119402
806.0000,0.12204
805.0000,0.120502
804.0000,0.12054
803.0000,0.119899
802.0000,0.121715
801.0000,0.122218
800.0000,0.12112
799.0000,0.12198
798.0000,0.12401
797.0000,0.121581
796.0000,0.119664
795.0000,0.122013
794.0000,0.122612
793.0000,0.121645
792.0000,0.121782
791.0000,0.124026
790.0000,0.123363
789.0000,0.119133
788.0000,0.120836
787.0000,0.123699
786.0000,0.126345
785.0000,0.122103
784.0000,0.123086
783.0000,0.126202
782.0000,0.124915
781.0000,0.125385
780.0000,0.127549
779.0000,0.123836
778.0000,0.123673
777.0000,0.12487
776.0000,0.125662
775.0000,0.126125
774.0000,0.125404
773.0000,0.125847
772.0000,0.125937
771.0000,0.125446
770.0000,0.126629
769.0000,0.125311
768.0000,0.125288
767.0000,0.1249
766.0000,0.125299
765.0000,0.12286
764.0000,0.127201
763.0000,0.125267
762.0000,0.128033
761.0000,0.126617
760.0000,0.127392
759.0000,0.128787
758.0000,0.127198
757.0000,0.127549
756.0000,0.129571
755.0000,0.12675
754.0000,0.125884
753.0000,0.12778
752.0000,0.129264
751.0000,0.127197
750.0000,0.129159
749.0000,0.127187
748.0000,0.126908
747.0000,0.129405
746.0000,0.133274
745.0000,0.129317
744.0000,0.131185
743.0000,0.129096
742.0000,0.132169
741.0000,0.131325
740.0000,0.130904
739.0000,0.130806
738.0000,0.129153
737.0000,0.130642
736.0000,0.13363
735.0000,0.130315
734.0000,0.131453
733.0000,0.133493
732.0000,0.131669
731.0000,0.132056
730.0000,0.134194
729.0000,0.13142
728.0000,0.133034
727.0000,0.132367
726.0000,0.13285
725.0000,0.133492
724.0000,0.134324
723.0000,0.136304
722.0000,0.133563
721.0000,0.133465
720.0000,0.134068
719.0000,0.135456
718.0000,0.135153
717.0000,0.135141
716.0000,0.135904
715.0000,0.134956
714.0000,0.136061
713.0000,0.135569
712.0000,0.136094
711.0000,0.135593
710.0000,0.134446
709.0000,0.134603
708.0000,0.134979
707.0000,0.135909
706.0000,0.13593
705.0000,0.136005
704.0000,0.135232
