TITLE,B19_ZnO_2
DATA TYPE,ULTRAVIOLET SPECTRUM
ORIGIN,JASCO
OWNER,FCBiR
DATE,22/10/04
TIME,14:14:31
SPECTROMETER/DATA SYSTEM,
LOCALE,1033
RESOLUTION,
DELTAX,-1
XUNITS,NANOMETERS
YUNITS,REFLECTANCE
FIRSTX, 1200.0000
LASTX,  300.0000
NPOINTS,     901
FIRSTY,     0.35035
MAXY,     0.53833
MINY,     0.09213
XYDATA
1200.0000,0.350351
1199.0000,0.352435
1198.0000,0.350817
1197.0000,0.349109
1196.0000,0.352994
1195.0000,0.348659
1194.0000,0.349785
1193.0000,0.356753
1192.0000,0.352095
1191.0000,0.349407
1190.0000,0.350401
1189.0000,0.353447
1188.0000,0.3451
1187.0000,0.353934
1186.0000,0.348957
1185.0000,0.358477
1184.0000,0.350761
1183.0000,0.35012
1182.0000,0.346844
1181.0000,0.350625
1180.0000,0.355173
1179.0000,0.347275
1178.0000,0.350851
1177.0000,0.349918
1176.0000,0.350838
1175.0000,0.353444
1174.0000,0.3532
1173.0000,0.346262
1172.0000,0.349659
1171.0000,0.344144
1170.0000,0.350399
1169.0000,0.3458
1168.0000,0.345851
1167.0000,0.355306
1166.0000,0.350544
1165.0000,0.350372
1164.0000,0.346911
1163.0000,0.34676
1162.0000,0.344225
1161.0000,0.351345
1160.0000,0.350325
1159.0000,0.351844
1158.0000,0.34795
1157.0000,0.346729
1156.0000,0.346086
1155.0000,0.350387
1154.0000,0.350781
1153.0000,0.343431
1152.0000,0.345852
1151.0000,0.344964
1150.0000,0.342873
1149.0000,0.351126
1148.0000,0.349644
1147.0000,0.350826
1146.0000,0.349375
1145.0000,0.345497
1144.0000,0.347885
1143.0000,0.34186
1142.0000,0.345751
1141.0000,0.340767
1140.0000,0.346514
1139.0000,0.350167
1138.0000,0.345946
1137.0000,0.342813
1136.0000,0.346316
1135.0000,0.349135
1134.0000,0.351202
1133.0000,0.347593
1132.0000,0.352379
1131.0000,0.345719
1130.0000,0.340833
1129.0000,0.342965
1128.0000,0.344302
1127.0000,0.343171
1126.0000,0.346899
1125.0000,0.346379
1124.0000,0.347517
1123.0000,0.342242
1122.0000,0.343218
1121.0000,0.3412
1120.0000,0.340533
1119.0000,0.344263
1118.0000,0.339662
1117.0000,0.345621
1116.0000,0.35183
1115.0000,0.340117
1114.0000,0.345438
1113.0000,0.341645
1112.0000,0.341077
1111.0000,0.348017
1110.0000,0.34411
1109.0000,0.339385
1108.0000,0.340835
1107.0000,0.339884
1106.0000,0.333502
1105.0000,0.336987
1104.0000,0.343765
1103.0000,0.345062
1102.0000,0.33379
1101.0000,0.338718
1100.0000,0.339212
1099.0000,0.338278
1098.0000,0.330074
1097.0000,0.344765
1096.0000,0.338277
1095.0000,0.343346
1094.0000,0.334509
1093.0000,0.3404
1092.0000,0.332057
