TITLE,B20_ZnO_2
DATA TYPE,ULTRAVIOLET SPECTRUM
ORIGIN,JASCO
OWNER,FCBiR
DATE,22/10/10
TIME,10:34:43
SPECTROMETER/DATA SYSTEM,
LOCALE,1033
RESOLUTION,
DELTAX,-1
XUNITS,NANOMETERS
YUNITS,REFLECTANCE
FIRSTX, 1200.0000
LASTX,  300.0000
NPOINTS,     901
FIRSTY,     0.28773
MAXY,     0.62209
MINY,     0.08467
XYDATA
1200.0000,0.287734
1199.0000,0.292535
1198.0000,0.284074
1197.0000,0.295694
1196.0000,0.288942
1195.0000,0.284921
1194.0000,0.289968
1193.0000,0.288456
1192.0000,0.284255
1191.0000,0.28817
1190.0000,0.291685
1189.0000,0.293361
1188.0000,0.287225
1187.0000,0.289605
1186.0000,0.284782
1185.0000,0.286283
1184.0000,0.29344
1183.0000,0.288824
1182.0000,0.284433
1181.0000,0.287597
1180.0000,0.29289
1179.0000,0.291657
1178.0000,0.282675
1177.0000,0.286679
1176.0000,0.285605
1175.0000,0.285311
1174.0000,0.292999
1173.0000,0.285401
1172.0000,0.285872
1171.0000,0.290083
1170.0000,0.283028
1169.0000,0.288685
1168.0000,0.284723
1167.0000,0.289852
1166.0000,0.293511
1165.0000,0.285274
1164.0000,0.288758
1163.0000,0.291892
1162.0000,0.285738
1161.0000,0.283162
1160.0000,0.29287
1159.0000,0.28877
1158.0000,0.289836
1157.0000,0.287373
1156.0000,0.294087
1155.0000,0.291584
1154.0000,0.288476
1153.0000,0.292316
1152.0000,0.285433
1151.0000,0.291636
1150.0000,0.288577
1149.0000,0.291428
1148.0000,0.298372
1147.0000,0.289108
1146.0000,0.289603
1145.0000,0.291974
1144.0000,0.288163
1143.0000,0.285017
1142.0000,0.286142
1141.0000,0.294212
1140.0000,0.283546
1139.0000,0.287861
1138.0000,0.286461
1137.0000,0.283364
1136.0000,0.284978
1135.0000,0.283941
1134.0000,0.290593
1133.0000,0.290143
1132.0000,0.29379
1131.0000,0.289398
1130.0000,0.281635
1129.0000,0.281325
1128.0000,0.288878
1127.0000,0.295142
1126.0000,0.29326
1125.0000,0.294643
1124.0000,0.289711
1123.0000,0.290658
1122.0000,0.290368
1121.0000,0.292121
1120.0000,0.288206
1119.0000,0.292328
1118.0000,0.289489
1117.0000,0.291059
1116.0000,0.284952
1115.0000,0.288015
1114.0000,0.291514
1113.0000,0.286294
1112.0000,0.288255
1111.0000,0.292912
1110.0000,0.288248
1109.0000,0.291219
1108.0000,0.290824
1107.0000,0.292598
1106.0000,0.284512
1105.0000,0.291095
1104.0000,0.285355
1103.0000,0.286124
1102.0000,0.289146
1101.0000,0.289191
1100.0000,0.288916
1099.0000,0.286429
1098.0000,0.286133
1097.0000,0.287678
1096.0000,0.290474
1095.0000,0.292428
1094.0000,0.286742
1093.0000,0.287512
1092.0000,0.290061
